"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: name"
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,049469","0,000464","us/op",test1
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,203678","0,002483","us/op",test2
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,427964","0,038649","us/op",test3
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,454969","0,029313","us/op",test4
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,639023","0,026390","us/op",test5
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,232029","0,029032","us/op",test6
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,305175","0,009891","us/op",test7
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,992153","0,064587","us/op",test8
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,754873","0,062217","us/op",test9
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,270099","0,001256","us/op",test10
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"408,238434","3,972648","us/op",test11
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"21,476958","0,252919","us/op",test12
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"525,544712","398,537446","us/op",test1
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"470,369353","292,722214","us/op",test2
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"481,853911","319,736231","us/op",test3
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"382,548999","189,382197","us/op",test4
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"139,428620","13,896758","us/op",test5
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"140,255143","10,194526","us/op",test6
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"113,770903","1,894756","us/op",test7
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"736,081158","14,810691","us/op",test8
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"966,216512","283,632516","us/op",test9
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"10665,530324","134,395491","us/op",test10
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1279,860615","818,729770","us/op",test11
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1078,168089","581,960743","us/op",test12
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,588735","0,032869","us/op",test1
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,606080","0,127396","us/op",test2
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"103,472284","1,908685","us/op",test3
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"93,773239","1,068366","us/op",test4
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,908088","0,103035","us/op",test5
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,649550","0,113223","us/op",test6
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,356884","0,036603","us/op",test7
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"27,603108","0,383728","us/op",test8
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"34,927942","0,385544","us/op",test9
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2058,839242","53,097125","us/op",test10
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,9,"3055,180668","18,645688","us/op",test11
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"561,284236","4,212230","us/op",test12
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,515671","0,003385","us/op",test1
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,521201","0,003584","us/op",test2
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,518460","0,005448","us/op",test3
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,518672","0,004903","us/op",test4
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,253596","0,002329","us/op",test5
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,250352","0,001889","us/op",test6
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,510206","0,005007","us/op",test7
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"2,376335","0,023157","us/op",test8
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,277814","0,055669","us/op",test9
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"112,736803","1,219310","us/op",test10
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,076711","0,012878","us/op",test11
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,348249","0,036296","us/op",test12
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,422861","0,004889","us/op",test1
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,154627","0,018317","us/op",test2
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"25,757094","0,269637","us/op",test3
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"21,321707","0,265773","us/op",test4
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,189235","0,018252","us/op",test5
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,138131","0,046278","us/op",test6
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,385807","0,001406","us/op",test7
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"9,712365","0,294203","us/op",test8
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"12,371339","0,116231","us/op",test9
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"393,961287","2,607144","us/op",test10
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,9,"1372,888827","55,248846","us/op",test11
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"186,598479","15,889637","us/op",test12
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,403469","0,008371","us/op",test1
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,404728","0,004430","us/op",test2
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,407480","0,004264","us/op",test3
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,407248","0,005289","us/op",test4
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,125709","0,001566","us/op",test5
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,123747","0,001051","us/op",test6
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,325146","0,003550","us/op",test7
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,644264","0,006550","us/op",test8
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,521631","0,007124","us/op",test9
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"60,480612","0,605636","us/op",test10
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,552157","0,008119","us/op",test11
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,996488","0,009725","us/op",test12
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,9,"2,840373","0,032702","us/op",test1
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,9,"11,889912","0,280243","us/op",test2
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"145,247240","0,837257","us/op",test3
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"137,855540","1,644592","us/op",test4
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,897527","0,065867","us/op",test5
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,188431","0,076212","us/op",test6
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,414761","0,023236","us/op",test7
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"86,822702","1,620953","us/op",test8
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"92,825774","1,494554","us/op",test9
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"50,375249","0,276041","us/op",test10
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"8980,809161","80,156291","us/op",test11
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1074,295921","17,904417","us/op",test12
"com.almondtools.regexbench.Re2JMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"2,104705","0,024036","us/op",test1
