"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: name"
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,049469","0,000464","us/op",test1
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,203678","0,002483","us/op",test2
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,427964","0,038649","us/op",test3
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,454969","0,029313","us/op",test4
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,639023","0,026390","us/op",test5
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,232029","0,029032","us/op",test6
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,305175","0,009891","us/op",test7
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,992153","0,064587","us/op",test8
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,754873","0,062217","us/op",test9
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,270099","0,001256","us/op",test10
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"408,238434","3,972648","us/op",test11
"com.almondtools.regexbench.BricsMatcherFindBenchmark.benchmarkFind","avgt",1,10,"21,476958","0,252919","us/op",test12
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,588735","0,032869","us/op",test1
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,606080","0,127396","us/op",test2
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"103,472284","1,908685","us/op",test3
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"93,773239","1,068366","us/op",test4
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,908088","0,103035","us/op",test5
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,649550","0,113223","us/op",test6
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,356884","0,036603","us/op",test7
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"27,603108","0,383728","us/op",test8
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"34,927942","0,385544","us/op",test9
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2058,839242","53,097125","us/op",test10
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,9,"3055,180668","18,645688","us/op",test11
"com.almondtools.regexbench.JRegexMatcherFindBenchmark.benchmarkFind","avgt",1,10,"561,284236","4,212230","us/op",test12
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,422861","0,004889","us/op",test1
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"2,154627","0,018317","us/op",test2
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"25,757094","0,269637","us/op",test3
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"21,321707","0,265773","us/op",test4
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,189235","0,018252","us/op",test5
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,138131","0,046278","us/op",test6
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,385807","0,001406","us/op",test7
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"9,712365","0,294203","us/op",test8
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"12,371339","0,116231","us/op",test9
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"393,961287","2,607144","us/op",test10
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,9,"1372,888827","55,248846","us/op",test11
"com.almondtools.regexbench.JdkMatcherFindBenchmark.benchmarkFind","avgt",1,10,"186,598479","15,889637","us/op",test12
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,9,"2,840373","0,032702","us/op",test1
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,9,"11,889912","0,280243","us/op",test2
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"145,247240","0,837257","us/op",test3
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"137,855540","1,644592","us/op",test4
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,897527","0,065867","us/op",test5
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,188431","0,076212","us/op",test6
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,414761","0,023236","us/op",test7
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"86,822702","1,620953","us/op",test8
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"92,825774","1,494554","us/op",test9
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"50,375249","0,276041","us/op",test10
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"8980,809161","80,156291","us/op",test11
"com.almondtools.regexbench.Re2JMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1074,295921","17,904417","us/op",test12
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,194293","0,002476","us/op",test1
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,850145","0,007559","us/op",test2
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,170321","0,059636","us/op",test3
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"5,939881","0,047689","us/op",test4
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,768054","0,044780","us/op",test5
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,141764","0,052625","us/op",test6
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,165380","0,043952","us/op",test7
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"10,915305","0,086135","us/op",test8
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,308291","0,027386","us/op",test9
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,911271","0,006003","us/op",test10
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"794,388777","24,016957","us/op",test11
"com.almondtools.regexbench.RexlexDefaultMatcherFindBenchmark.benchmarkFind","avgt",1,10,"63,791152","0,433123","us/op",test12
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,306005","0,011556","us/op",test1
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,149065","0,066544","us/op",test2
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"7,047640","0,241350","us/op",test3
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,823279","0,319069","us/op",test4
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,327033","0,010478","us/op",test5
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,928409","0,077687","us/op",test6
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,562944","0,042928","us/op",test7
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,001637","0,133511","us/op",test8
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"3,199615","0,117163","us/op",test9
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,628164","0,052055","us/op",test10
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"772,501113","24,998487","us/op",test11
"com.almondtools.regexbench.RexlexOptimizedMatcherFindBenchmark.benchmarkFind","avgt",1,10,"61,292074","1,681209","us/op",test12
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,268338","0,019143","us/op",test1
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,931054","0,005770","us/op",test2
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,422671","0,093571","us/op",test3
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,133509","0,058545","us/op",test4
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,303222","0,002119","us/op",test5
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"0,773148","0,007616","us/op",test6
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,675796","0,023597","us/op",test7
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"4,330528","0,064253","us/op",test8
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"6,946337","0,071630","us/op",test9
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"1,030191","0,012581","us/op",test10
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"732,607030","12,936512","us/op",test11
"com.almondtools.regexbench.RexlexSearchMatcherFindBenchmark.benchmarkFind","avgt",1,10,"46,962457","0,483133","us/op",test12
