"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: name"
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"525,544712","398,537446","us/op",test1
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"470,369353","292,722214","us/op",test2
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"481,853911","319,736231","us/op",test3
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"382,548999","189,382197","us/op",test4
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"139,428620","13,896758","us/op",test5
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"140,255143","10,194526","us/op",test6
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"113,770903","1,894756","us/op",test7
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"736,081158","14,810691","us/op",test8
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"966,216512","283,632516","us/op",test9
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"10665,530324","134,395491","us/op",test10
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1279,860615","818,729770","us/op",test11
"com.almondtools.regexbench.BricsMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1078,168089","581,960743","us/op",test12
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,515671","0,003385","us/op",test1
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,521201","0,003584","us/op",test2
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,518460","0,005448","us/op",test3
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,518672","0,004903","us/op",test4
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,253596","0,002329","us/op",test5
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,250352","0,001889","us/op",test6
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,510206","0,005007","us/op",test7
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"2,376335","0,023157","us/op",test8
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,277814","0,055669","us/op",test9
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"112,736803","1,219310","us/op",test10
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,076711","0,012878","us/op",test11
"com.almondtools.regexbench.JRegexMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"1,348249","0,036296","us/op",test12
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,403469","0,008371","us/op",test1
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,404728","0,004430","us/op",test2
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,407480","0,004264","us/op",test3
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,407248","0,005289","us/op",test4
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,125709","0,001566","us/op",test5
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,123747","0,001051","us/op",test6
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,325146","0,003550","us/op",test7
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,644264","0,006550","us/op",test8
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,521631","0,007124","us/op",test9
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"60,480612","0,605636","us/op",test10
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,552157","0,008119","us/op",test11
"com.almondtools.regexbench.JdkMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"0,996488","0,009725","us/op",test12
"com.almondtools.regexbench.Re2JMatcherPrepareBenchmark.benchmarkPrepare","avgt",1,10,"2,104705","0,024036","us/op",test1
